FW,ASU_Base,ASU_Adj,Disp_DS,Disp_Adj,SR_DS,SR_Adj
2026-W01,5424914,5424914,4102,4102,7108,7108
2026-W02,5429114,5429114,3722,3722,6758,6758
2026-W03,5433312,5433312,4049,4049,7001,7001
2026-W04,5437512,5437512,3967,3967,6694,6694
2026-W05,5464452,5464452,4020,4020,7462,7462
2026-W06,5480022,5480022,3624,3624,7389,7389
2026-W07,5495589,5495589,4028,4028,7196,7196
2026-W08,5511160,5511160,4138,4138,7454,7454
2026-W09,5526732,5526732,4280,4280,7695,7695
2026-W10,5565040,5565040,3759,3759,7077,7077
2026-W11,5591982,5591982,3723,3723,6881,6881
2026-W12,5618922,5618922,3745,3745,7606,7606
2026-W13,5697030,5697030,4088,4088,7329,7329
2026-W14,5654139,5654139,4307,4307,6698,6698
2026-W15,5658956,5658956,4004,4004,7974,7974
2026-W16,5663774,5663774,4285,4285,7450,7450
2026-W17,5668591,5668591,4025,4025,6993,6993
2026-W18,5697138,5697138,3997,3997,7004,7004
2026-W19,5713820,5713820,4103,4103,6921,6921
2026-W20,5730501,5730501,4123,4123,7609,7609
2026-W21,5747183,5747183,4112,4112,8025,8025
2026-W22,5763865,5763865,3865,3865,6895,6895
2026-W23,5804278,5804278,4264,4264,7810,7810
2026-W24,5832824,5832824,4065,4065,7013,7013
2026-W25,5861372,5861372,4158,4158,7593,7593
2026-W26,5943310,5943310,4381,4381,7579,7579
2026-W27,5897702,5897702,4517,4517,7566,7566
2026-W28,5902518,5902518,3994,3994,7413,7413
2026-W29,5907335,5907335,4123,4123,7927,7927
2026-W30,5912153,5912153,4043,4043,7341,7341
2026-W31,5940700,5940700,4359,4359,7756,7756
2026-W32,5957382,5957382,4366,4366,7865,7865
2026-W33,5974063,5974063,4592,4592,7264,7264
2026-W34,5990744,5990744,4474,4474,7737,7737
2026-W35,6007427,6007427,4645,4645,7728,7728
2026-W36,6047839,6047839,4283,4283,7863,7863
2026-W37,6076386,6076386,4417,4417,7111,7111
2026-W38,6104932,6104932,4057,4057,7920,7920
2026-W39,6186873,6186873,4606,4606,7330,7330
2026-W40,6147442,6147442,4334,4334,8475,8475
2026-W41,6155351,6155351,4312,4312,8147,8147
2026-W42,6163258,6163258,4698,4698,7783,7783
2026-W43,6171164,6171164,4445,4445,8422,8422
2026-W44,6207745,6207745,4084,4084,8529,8529
2026-W45,6229988,6229988,4660,4660,7123,7123
2026-W46,6252231,6252231,4424,4424,8255,8255
2026-W47,6274474,6274474,4395,4395,8464,8464
2026-W48,6296719,6296719,4735,4735,8355,8355
2026-W49,6347637,6347637,4603,4603,8636,8636
2026-W50,6384217,6384217,4575,4575,8111,8111
2026-W51,6420798,6420798,4309,4309,7507,7507
2026-W52,6521895,6521895,4629,4629,8286,8286
2027-W01,5321027,5336806,3969,5095,6547,9324
2027-W02,5304308,5338554,3835,4940,6970,9961
2027-W03,5322834,5395128,3679,4773,6785,9766
2027-W04,5257886,5350522,3586,4671,7198,10401
2027-W05,5319191,5458821,3556,4671,6379,9296
2027-W06,5361879,5539275,3785,5005,6975,10232
2027-W07,5363602,5580062,4065,5413,6333,9356
2027-W08,5310820,5543657,4000,5344,6827,10119
2027-W09,5435757,5753875,3727,5050,6696,10065
2027-W10,5423845,5762954,3988,5424,6893,10400
2027-W11,5423191,5800302,3828,5241,6824,10364
2027-W12,5428445,5838756,3732,5138,6661,10174
2027-W13,5530321,6009544,4008,5575,6981,10772
2027-W14,5501507,5996616,3934,5489,6969,10787
2027-W15,5467675,5983746,3712,5200,6811,10584
2027-W16,5497388,6058918,4032,5688,6662,10426
2027-W17,5476577,6059737,3740,5297,6988,10980
2027-W18,5555485,6193856,4008,5720,7514,11896
2027-W19,5556473,6215476,3566,5106,6992,11106
2027-W20,5567714,6256719,4250,6113,6857,10942
2027-W21,5589865,6315010,4093,5919,6637,10647
2027-W22,5608516,6363092,4134,6003,7344,11832
2027-W23,5665726,6469982,4395,6424,6770,10978
2027-W24,5650270,6498439,4283,6305,6819,11137
2027-W25,5689306,6590501,4239,6285,7676,12626
2027-W26,5816417,6802853,4210,6303,7304,12131
2027-W27,5734970,6738144,4025,6053,7492,12500
2027-W28,5720618,6757425,4212,6368,7448,12493
2027-W29,5734045,6803426,4371,6638,7620,12838
2027-W30,5734825,6837153,4291,6548,7114,12044
2027-W31,5812290,6970385,4039,6200,7409,12617
2027-W32,5773946,6954513,4180,6444,7156,12239
2027-W33,5827625,7063208,4143,6427,7948,13679
2027-W34,5901061,7188228,4235,6603,7994,13828
2027-W35,5858253,7166223,4330,6780,7992,13882
2027-W36,5954833,7331892,4164,6562,7518,13144
2027-W37,5872227,7276430,4005,6352,7850,13813
2027-W38,5972471,7472804,4110,6582,7835,13921
2027-W39,5979650,7512783,4073,6550,7145,12747
2027-W40,5947718,7500277,4176,6741,7434,13312
2027-W41,6026574,7634092,4014,6508,8418,15142
2027-W42,6011178,7644831,4695,7643,7995,14438
2027-W43,5946808,7604908,4024,6587,7403,13443
2027-W44,6024400,7737498,4470,7349,7371,13443
2027-W45,6013130,7770352,4435,7336,7788,14291
2027-W46,6026204,7808903,4275,7091,7937,14605
2027-W47,6127783,7985753,4380,7306,7723,14292
2027-W48,6123905,8023351,4277,7173,8154,15170
2027-W49,6177308,8134468,4401,7418,8054,15060
2027-W50,6205087,8210305,4473,7576,7832,14715
2027-W51,6180900,8216045,4676,7956,8617,16265
2027-W52,6355461,8509315,4587,7861,8034,15275
