FY,Fiscal Quarter,Fiscal Week,LOB,Category,Region,Business Unit,Warranty Type,Core/Upsell,Service Type,GCFA Type,W/O Type,Series,ASU,APOS,Renewals,Expiring,New Contract,APOS Renewal,Dispatches,SRs,Segment
FY22,2022-Q1,2022-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,860541,688433,172108,4653,2427,365,642,978,Tech
FY22,2022-Q1,2022-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1618,243,0,0,Field
FY22,2022-Q1,2022-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,884166,707333,176833,0,13660,515,608,1242,Tech
FY22,2022-Q1,2022-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,9106,344,0,0,Field
FY22,2022-Q1,2022-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,890953,712762,178191,0,3537,535,580,999,Tech
FY22,2022-Q1,2022-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,2358,357,0,0,Field
FY22,2022-Q1,2022-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,873686,698949,174737,22019,2482,369,669,1068,Tech
FY22,2022-Q1,2022-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,0,0,0,0,1655,246,0,0,Field
FY22,2022-Q1,2022-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,915062,732050,183012,0,24197,628,561,1044,Tech
FY22,2022-Q1,2022-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,16132,419,0,0,Field
FY22,2022-Q1,2022-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,917302,733842,183460,1437,1852,354,562,1220,Tech
FY22,2022-Q1,2022-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1235,236,0,0,Field
FY22,2022-Q1,2022-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,914091,731273,182818,6892,1619,589,652,1123,Tech
FY22,2022-Q1,2022-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1080,393,0,0,Field
FY22,2022-Q1,2022-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,925374,740299,185075,0,6211,559,624,1115,Tech
FY22,2022-Q1,2022-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,4140,373,0,0,Field
FY22,2022-Q1,2022-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,918444,734755,183689,12033,2612,449,751,1334,Tech
FY22,2022-Q1,2022-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1742,300,0,0,Field
FY22,2022-Q1,2022-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,945944,756755,189189,0,15880,620,689,1355,Tech
FY22,2022-Q1,2022-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,10587,413,0,0,Field
FY22,2022-Q1,2022-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,921921,737537,184384,28559,2145,577,604,1316,Tech
FY22,2022-Q1,2022-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,0,0,0,0,1430,384,0,0,Field
FY22,2022-Q1,2022-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,932096,745677,186419,0,5500,605,731,1325,Tech
FY22,2022-Q1,2022-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,3666,404,0,0,Field
FY22,2022-Q1,2022-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,927892,742314,185578,7651,1621,448,765,1226,Tech
FY22,2022-Q1,2022-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1080,298,0,0,Field
FY22,2022-Q2,2022-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,966407,773126,193281,0,22652,457,777,1111,Tech
FY22,2022-Q2,2022-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,15101,305,0,0,Field
FY22,2022-Q2,2022-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,970873,776698,194175,1233,2965,454,795,1279,Tech
FY22,2022-Q2,2022-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1977,303,0,0,Field
FY22,2022-Q2,2022-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,950704,760563,190141,23959,1738,536,751,1174,Tech
FY22,2022-Q2,2022-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1158,358,0,0,Field
FY22,2022-Q2,2022-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,975086,780069,195017,0,14099,530,807,1337,Tech
FY22,2022-Q2,2022-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,9400,353,0,0,Field
FY22,2022-Q2,2022-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,970634,776507,194127,9739,2534,638,595,1363,Tech
FY22,2022-Q2,2022-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1690,425,0,0,Field
FY22,2022-Q2,2022-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,978754,783003,195751,0,4270,602,680,1350,Tech
FY22,2022-Q2,2022-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,0,0,0,0,2846,402,0,0,Field
FY22,2022-Q2,2022-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,940601,752481,188120,43449,2729,448,657,1167,Tech
FY22,2022-Q2,2022-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,1820,299,0,0,Field
FY22,2022-Q2,2022-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,998001,798401,199600,0,34042,398,786,1153,Tech
FY22,2022-Q2,2022-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,22695,265,0,0,Field
FY22,2022-Q2,2022-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,953685,762948,190737,48308,1997,398,711,1184,Tech
FY22,2022-Q2,2022-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1331,266,0,0,Field
FY22,2022-Q2,2022-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,1012089,809671,202418,0,34549,494,638,1162,Tech
FY22,2022-Q2,2022-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,0,0,0,0,23032,329,0,0,Field
FY22,2022-Q2,2022-W24,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,978566,782853,195713,38370,2229,679,727,1277,Tech
FY22,2022-Q2,2022-W24,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1486,453,0,0,Field
FY22,2022-Q2,2022-W25,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1006251,805001,201250,0,16033,578,810,1301,Tech
FY22,2022-Q2,2022-W25,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,10689,385,0,0,Field
FY22,2022-Q2,2022-W26,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,1039294,831435,207859,0,19238,588,696,1265,Tech
FY22,2022-Q2,2022-W26,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,12825,392,0,0,Field
FY22,2022-Q3,2022-W27,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1033524,826819,206705,11702,3134,425,685,1340,Tech
FY22,2022-Q3,2022-W27,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,2090,283,0,0,Field
FY22,2022-Q3,2022-W28,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,995888,796710,199178,42482,2450,458,695,1199,Tech
FY22,2022-Q3,2022-W28,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1633,305,0,0,Field
FY22,2022-Q3,2022-W29,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1014606,811685,202921,0,10846,385,717,1122,Tech
FY22,2022-Q3,2022-W29,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,7230,257,0,0,Field
FY22,2022-Q3,2022-W30,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,990953,792762,198191,29548,2862,675,698,1422,Tech
FY22,2022-Q3,2022-W30,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1908,450,0,0,Field
FY22,2022-Q3,2022-W31,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,993594,794875,198719,2811,2621,650,634,1423,Tech
FY22,2022-Q3,2022-W31,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1748,433,0,0,Field
FY22,2022-Q3,2022-W32,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,1044686,835749,208937,0,30214,442,686,1403,Tech
FY22,2022-Q3,2022-W32,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,0,0,0,0,20142,294,0,0,Field
FY22,2022-Q3,2022-W33,Server Line A,Server,Americas,Unit B,Premium Plus,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1011058,808846,202212,38504,2513,412,740,1197,Tech
FY22,2022-Q3,2022-W33,Server Line A,Server,Americas,Unit B,Premium Plus,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,0,0,0,0,1676,275,0,0,Field
FY22,2022-Q3,2022-W34,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1047132,837706,209426,0,21085,559,649,1398,Tech
FY22,2022-Q3,2022-W34,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,14057,373,0,0,Field
FY22,2022-Q3,2022-W35,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1054519,843615,210904,0,3766,666,819,1503,Tech
FY22,2022-Q3,2022-W35,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,0,0,0,0,2511,444,0,0,Field
FY22,2022-Q3,2022-W36,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1072518,858014,214504,0,10159,641,737,1481,Tech
FY22,2022-Q3,2022-W36,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,6772,427,0,0,Field
FY22,2022-Q3,2022-W37,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1035442,828354,207088,42204,2582,494,827,1201,Tech
FY22,2022-Q3,2022-W37,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1722,330,0,0,Field
FY22,2022-Q3,2022-W38,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1037958,830366,207592,2954,2612,670,648,1341,Tech
FY22,2022-Q3,2022-W38,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1741,447,0,0,Field
FY22,2022-Q3,2022-W39,Server Line A,Server,Americas,Unit B,Basic,Core,Parts Only,GCFA,Part/s dispatch,Actual,1107900,886320,221580,0,41473,492,722,1633,Tech
FY22,2022-Q3,2022-W39,Server Line A,Server,Americas,Unit B,Basic,Core,Parts Only,GCFA,Part/s dispatch,Actual,0,0,0,0,27649,328,0,0,Field
FY22,2022-Q4,2022-W40,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1054626,843701,210925,57372,1967,491,860,1298,Tech
FY22,2022-Q4,2022-W40,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1312,328,0,0,Field
FY22,2022-Q4,2022-W41,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1050455,840364,210091,9119,2555,414,737,1511,Tech
FY22,2022-Q4,2022-W41,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1703,276,0,0,Field
FY22,2022-Q4,2022-W42,Server Line A,Server,Americas,Unit A,Premium Flex,Core,Labour Only,non-GCFA,Break fix,Actual,1074127,859302,214825,0,13598,605,662,1347,Tech
FY22,2022-Q4,2022-W42,Server Line A,Server,Americas,Unit A,Premium Flex,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,9066,403,0,0,Field
FY22,2022-Q4,2022-W43,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1050623,840498,210125,27531,1835,581,769,1441,Tech
FY22,2022-Q4,2022-W43,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1223,388,0,0,Field
FY22,2022-Q4,2022-W44,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1108862,887090,221772,0,34179,764,880,1369,Tech
FY22,2022-Q4,2022-W44,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,22786,510,0,0,Field
FY22,2022-Q4,2022-W45,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1071992,857594,214398,41790,2215,737,673,1461,Tech
FY22,2022-Q4,2022-W45,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1476,492,0,0,Field
FY22,2022-Q4,2022-W46,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1069699,855759,213940,6959,2333,467,794,1396,Tech
FY22,2022-Q4,2022-W46,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1555,311,0,0,Field
FY22,2022-Q4,2022-W47,Server Line A,Server,Americas,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1091512,873210,218302,0,12377,711,696,1333,Tech
FY22,2022-Q4,2022-W47,Server Line A,Server,Americas,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,8251,474,0,0,Field
FY22,2022-Q4,2022-W48,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1106861,885489,221372,0,8784,425,895,1437,Tech
FY22,2022-Q4,2022-W48,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,5856,284,0,0,Field
FY22,2022-Q4,2022-W49,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1099691,879753,219938,13585,3307,542,694,1635,Tech
FY22,2022-Q4,2022-W49,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,0,0,0,0,2205,361,0,0,Field
FY22,2022-Q4,2022-W50,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1103677,882942,220735,8,1955,441,720,1641,Tech
FY22,2022-Q4,2022-W50,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1304,294,0,0,Field
FY22,2022-Q4,2022-W51,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1131401,905121,226280,0,15941,694,707,1323,Tech
FY22,2022-Q4,2022-W51,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,10627,462,0,0,Field
FY22,2022-Q4,2022-W52,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1161179,928943,232236,0,17345,521,957,1653,Tech
FY22,2022-Q4,2022-W52,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,11564,348,0,0,Field
FY23,2023-Q1,2023-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1180981,944785,236196,0,11153,728,929,1629,Tech
