FW,Declines
22-W01,5109
22-W02,9596
22-W03,3094
22-W04,27812
22-W05,2532
22-W06,4186
22-W07,7576
22-W08,3234
22-W09,15774
22-W10,1930
22-W11,27242
22-W12,610
22-W13,10004
22-W14,12557
22-W15,11601
22-W16,15082
22-W17,2322
22-W18,8122
22-W19,5111
22-W20,23676
22-W21,10432
22-W22,27011
22-W23,2238
22-W24,35553
22-W25,5608
22-W26,1209
22-W27,22742
22-W28,29790
22-W29,8615
22-W30,23656
22-W31,8735
22-W32,4414
22-W33,23134
22-W34,4372
22-W35,1758
22-W36,10264
22-W37,23615
22-W38,11654
22-W39,436
22-W40,43278
22-W41,9761
22-W42,1655
22-W43,23208
22-W44,7802
22-W45,30580
22-W46,10990
22-W47,6262
22-W48,9451
22-W49,7665
22-W50,12718
22-W51,1378
22-W52,1807
23-W01,23734
23-W02,37313
23-W03,11376
23-W04,10196
23-W05,11796
23-W06,25812
23-W07,6688
23-W08,3316
23-W09,32979
23-W10,7576
23-W11,3598
23-W12,23144
23-W13,7662
23-W14,14334
23-W15,16274
23-W16,4692
23-W17,38784
23-W18,2155
23-W19,23959
23-W20,2916
23-W21,36490
23-W22,26862
23-W23,2083
23-W24,3230
23-W25,24123
23-W26,7226
23-W27,11480
23-W28,24178
23-W29,4660
23-W30,23216
23-W31,2161
23-W32,33466
23-W33,20794
23-W34,21672
23-W35,4650
23-W36,11944
23-W37,26680
23-W38,9392
23-W39,505
23-W40,38494
23-W41,6966
23-W42,30064
23-W43,35406
23-W44,558
23-W45,2108
23-W46,43240
23-W47,16750
23-W48,2550
23-W49,27840
23-W50,2738
23-W51,33544
23-W52,652
24-W01,42832
24-W02,4726
24-W03,4222
24-W04,5946
24-W05,0
24-W06,892
24-W07,494
24-W08,893
24-W09,1842
24-W10,0
24-W11,0
24-W12,0
24-W13,0
24-W14,26137
24-W15,5789
24-W16,5226
24-W17,4853
24-W18,0
24-W19,1694
24-W20,1655
24-W21,892
24-W22,1870
24-W23,0
24-W24,0
24-W25,0
24-W26,0
24-W27,28492
24-W28,5092
24-W29,5685
24-W30,6882
24-W31,0
24-W32,1236
24-W33,1294
24-W34,1772
24-W35,627
24-W36,0
24-W37,0
24-W38,0
24-W39,0
24-W40,24498
24-W41,7290
24-W42,4712
24-W43,6516
24-W44,0
24-W45,712
24-W46,84
24-W47,1028
24-W48,428
24-W49,0
24-W50,0
24-W51,0
24-W52,0
25-W01,32578
25-W02,7435
25-W03,7452
25-W04,7088
25-W05,150
25-W06,3645
25-W07,3252
25-W08,2916
25-W09,2396
25-W10,0
25-W11,18
25-W12,13
25-W13,0
25-W14,29854
25-W15,7589
25-W16,8786
25-W17,9078
25-W18,414
25-W19,3690
25-W20,1866
25-W21,4028
25-W22,3860
25-W23,0
25-W24,143
25-W25,594
25-W26,0
25-W27,33094
25-W28,9158
25-W29,8318
25-W30,8859
25-W31,185
25-W32,3264
25-W33,3406
25-W34,4845
25-W35,3676
25-W36,0
25-W37,238
25-W38,39
25-W39,0
25-W40,28360
25-W41,7724
25-W42,8084
25-W43,9770
25-W44,0
25-W45,3311
25-W46,2900
25-W47,2606
25-W48,2303
25-W49,0
25-W50,0
25-W51,0
25-W52,0
26-W01,38275
26-W02,12452
26-W03,10382
26-W04,12488
26-W05,762
26-W06,6890
26-W07,5894
26-W08,6664
26-W09,5325
26-W10,0
26-W11,1508
26-W12,1324
26-W13,0
26-W14,36028
26-W15,11552
26-W16,10888
26-W17,11160
26-W18,310
26-W19,5436
26-W20,5594
26-W21,5903
26-W22,6202
26-W23,0
26-W24,1936
26-W25,396
26-W26,0
26-W27,37806
26-W28,11904
26-W29,10882
26-W30,10552
26-W31,3398
26-W32,6335
26-W33,4876
26-W34,6052
26-W35,6764
26-W36,10
26-W37,2016
26-W38,492
26-W39,0
26-W40,32101
26-W41,12310
26-W42,8350
26-W43,14298
26-W44,667
26-W45,4048
26-W46,5115
26-W47,4120
26-W48,5298
26-W49,0
26-W50,480
26-W51,44
26-W52,0
27-W01,13168
27-W02,23308
27-W03,20268
27-W04,49117
27-W05,5508
27-W06,8092
27-W07,29344
27-W08,39974
27-W09,1582
27-W10,23035
27-W11,29650
27-W12,23518
27-W13,1124
27-W14,27672
27-W15,34038
27-W16,20091
27-W17,27979
27-W18,2802
27-W19,16200
27-W20,18123
27-W21,16864
27-W22,13874
27-W23,9477
27-W24,41882
27-W25,21053
27-W26,662
27-W27,54655
27-W28,33476
27-W29,19117
27-W30,25634
27-W31,3840
27-W32,37444
27-W33,15172
27-W34,2937
27-W35,38200
27-W36,4126
27-W37,63180
27-W38,22295
27-W39,22294
27-W40,32013
27-W41,2798
27-W42,28532
27-W43,52084
27-W44,3370
27-W45,39925
27-W46,14234
27-W47,6502
27-W48,34020
27-W49,17611
27-W50,23445
27-W51,35916
27-W52,2044
