FW,Declines
22-W01,10130
22-W02,17430
22-W03,7142
22-W04,58814
22-W05,5718
22-W06,9404
22-W07,14988
22-W08,7024
22-W09,29008
22-W10,5739
22-W11,50456
22-W12,2510
22-W13,20290
22-W14,20674
22-W15,20890
22-W16,25528
22-W17,6378
22-W18,17222
22-W19,10500
22-W20,43955
22-W21,20256
22-W22,45483
22-W23,6114
22-W24,72348
22-W25,10598
22-W26,2597
22-W27,44562
22-W28,52654
22-W29,18290
22-W30,47092
22-W31,17519
22-W32,10614
22-W33,50802
22-W34,9157
22-W35,5390
22-W36,21682
22-W37,45328
22-W38,22961
22-W39,1037
22-W40,72620
22-W41,17886
22-W42,4093
22-W43,44184
22-W44,16735
22-W45,49346
22-W46,20982
22-W47,10869
22-W48,18662
22-W49,16938
22-W50,22058
22-W51,3946
22-W52,5150
23-W01,39875
23-W02,59856
23-W03,24332
23-W04,17340
23-W05,19204
23-W06,50934
23-W07,13516
23-W08,8788
23-W09,57026
23-W10,15232
23-W11,8328
23-W12,46516
23-W13,15210
23-W14,26322
23-W15,32796
23-W16,9647
23-W17,76878
23-W18,4237
23-W19,48027
23-W20,7674
23-W21,79108
23-W22,51708
23-W23,5428
23-W24,6168
23-W25,41044
23-W26,14166
23-W27,23842
23-W28,46690
23-W29,11299
23-W30,36845
23-W31,6222
23-W32,59965
23-W33,42672
23-W34,40998
23-W35,11814
23-W36,23596
23-W37,46664
23-W38,16490
23-W39,2953
23-W40,80946
23-W41,16052
23-W42,48780
23-W43,72840
23-W44,1616
23-W45,4368
23-W46,83996
23-W47,35298
23-W48,7366
23-W49,59449
23-W50,6430
23-W51,53163
23-W52,1383
24-W01,87316
24-W02,11036
24-W03,9868
24-W04,10411
24-W05,1130
24-W06,2137
24-W07,1250
24-W08,1847
24-W09,4896
24-W10,1302
24-W11,1088
24-W12,1170
24-W13,1562
24-W14,54502
24-W15,11006
24-W16,9652
24-W17,10225
24-W18,1778
24-W19,3801
24-W20,4196
24-W21,3501
24-W22,4249
24-W23,1779
24-W24,1713
24-W25,993
24-W26,874
24-W27,58101
24-W28,9748
24-W29,13156
24-W30,13278
24-W31,1488
24-W32,2235
24-W33,4266
24-W34,4948
24-W35,1956
24-W36,565
24-W37,1674
24-W38,1402
24-W39,982
24-W40,47874
24-W41,12588
24-W42,11650
24-W43,13585
24-W44,1416
24-W45,2840
24-W46,542
24-W47,3142
24-W48,2204
24-W49,246
24-W50,1905
24-W51,1972
24-W52,1162
25-W01,58151
25-W02,13788
25-W03,13751
25-W04,13688
25-W05,608
25-W06,7628
25-W07,6341
25-W08,6290
25-W09,5734
25-W10,224
25-W11,1584
25-W12,534
25-W13,248
25-W14,54570
25-W15,15380
25-W16,16195
25-W17,16910
25-W18,998
25-W19,9324
25-W20,5412
25-W21,8597
25-W22,6988
25-W23,1564
25-W24,1247
25-W25,2524
25-W26,250
25-W27,70894
25-W28,16264
25-W29,16907
25-W30,19085
25-W31,706
25-W32,7280
25-W33,5610
25-W34,9652
25-W35,6560
25-W36,1916
25-W37,1870
25-W38,672
25-W39,1600
25-W40,57874
25-W41,16590
25-W42,17577
25-W43,18754
25-W44,1308
25-W45,5978
25-W46,6332
25-W47,6760
25-W48,5848
25-W49,680
25-W50,1106
25-W51,329
25-W52,1400
26-W01,82262
26-W02,25455
26-W03,22906
26-W04,23984
26-W05,2765
26-W06,15176
26-W07,11072
26-W08,14299
26-W09,12380
26-W10,1031
26-W11,2776
26-W12,3666
26-W13,934
26-W14,69149
26-W15,21139
26-W16,20290
26-W17,20932
26-W18,1396
26-W19,12510
26-W20,9648
26-W21,11564
26-W22,11426
26-W23,1686
26-W24,3715
26-W25,1849
26-W26,134
26-W27,79657
26-W28,24524
26-W29,20884
26-W30,18534
26-W31,8456
26-W32,12946
26-W33,9637
26-W34,12134
26-W35,15654
26-W36,1034
26-W37,5568
26-W38,3026
26-W39,140
26-W40,55780
26-W41,26870
26-W42,14646
26-W43,27672
26-W44,1780
26-W45,7348
26-W46,11384
26-W47,8438
26-W48,10036
26-W49,1054
26-W50,2350
26-W51,168
26-W52,1542
27-W01,27290
27-W02,38850
27-W03,33681
27-W04,104376
27-W05,11126
27-W06,16878
27-W07,46884
27-W08,68934
27-W09,4138
27-W10,48852
27-W11,53954
27-W12,46548
27-W13,2247
27-W14,45353
27-W15,67272
27-W16,37366
27-W17,45724
27-W18,6154
27-W19,32238
27-W20,35444
27-W21,29001
27-W22,26458
27-W23,16593
27-W24,68050
27-W25,36644
27-W26,1769
27-W27,86442
27-W28,62488
27-W29,41821
27-W30,41186
27-W31,8514
27-W32,69948
27-W33,26060
27-W34,6159
27-W35,80902
27-W36,8636
27-W37,118867
27-W38,45428
27-W39,40888
27-W40,50921
27-W41,5724
27-W42,55616
27-W43,106036
27-W44,7854
27-W45,76816
27-W46,24867
27-W47,12714
27-W48,70796
27-W49,29873
27-W50,40660
27-W51,72495
27-W52,3404
