FW,ASU_Base,ASU_Adj,ASU_Comment,SR_DS,SR_Adj,SR_Comment,Disp_DS,Disp_Adj,Disp_Comment,Comment
2027-W01,5321027,5321027,,6547,6547,,3969,4961,,
2027-W02,5304308,5304308,,6970,6970,,3835,4794,,
2027-W03,5322834,5322834,,6785,6785,,3679,4598,,
2027-W04,5257886,5257886,,7198,7198,,3586,4483,,
2027-W05,5319191,5319191,,6379,6379,,3556,4445,,
2027-W06,5361879,5361879,,6975,6975,,3785,4732,,
2027-W07,5363602,5363602,,6333,6333,,4065,5082,,
2027-W08,5310820,5310820,,6827,6827,,4000,5001,,
2027-W09,5435757,5435757,,6696,6696,,3727,4659,,
2027-W10,5423845,5423845,,6893,6893,,3988,4985,,
2027-W11,5423191,5423191,,6824,6824,,3828,4785,,
2027-W12,5428445,5428445,,6661,6661,,3732,4666,,
2027-W13,5530321,5530321,,6981,6981,,4008,5010,,
2027-W14,5501507,5501507,,6969,6969,,3934,4918,,
2027-W15,5467675,5467675,,6811,6811,,3712,4640,,
2027-W16,5497388,5497388,,6662,6662,,4032,5040,,
2027-W17,5476577,5476577,,6988,6988,,3740,4674,,
2027-W18,5555485,5555485,,7514,7514,,4008,5010,,
2027-W19,5556473,5556473,,6992,6992,,3566,4457,,
2027-W20,5567714,5567714,,6857,6857,,4250,5312,,
2027-W21,5589865,5589865,,6637,6637,,4093,5116,,
2027-W22,5608516,5608516,,7344,7344,,4134,5167,,
2027-W23,5665726,5665726,,6770,6770,,4395,5493,,
2027-W24,5650270,5650270,,6819,6819,,4283,5354,,
2027-W25,5689306,5689306,,7676,7676,,4239,5299,,
2027-W26,5816417,5816417,,7304,7304,,4210,5262,,
2027-W27,5734970,5734970,,7492,7492,,4025,5032,,
2027-W28,5720618,5720618,,7448,7448,,4212,5265,,
2027-W29,5734045,5734045,,7620,7620,,4371,5464,,
2027-W30,5734825,5734825,,7114,7114,,4291,5364,,
2027-W31,5812290,5812290,,7409,7409,,4039,5049,,
2027-W32,5773946,5773946,,7156,7156,,4180,5226,,
2027-W33,5827625,5827625,,7948,7948,,4143,5178,,
2027-W34,5901061,5901061,,7994,7994,,4235,5294,,
2027-W35,5858253,5858253,,7992,7992,,4330,5413,,
2027-W36,5954833,5954833,,7518,7518,,4164,5205,,
2027-W37,5872227,5872227,,7850,7850,,4005,5006,,
2027-W38,5972471,5972471,,7835,7835,,4110,5138,,
2027-W39,5979650,5979650,,7145,7145,,4073,5091,,
2027-W40,5947718,5947718,,7434,7434,,4176,5220,,
2027-W41,6026574,6026574,,8418,8418,,4014,5018,,
2027-W42,6011178,6011178,,7995,7995,,4695,5869,,
2027-W43,5946808,5946808,,7403,7403,,4024,5030,,
2027-W44,6024400,6024400,,7371,7371,,4470,5588,,
2027-W45,6013130,6013130,,7788,7788,,4435,5544,,
2027-W46,6026204,6026204,,7937,7937,,4275,5343,,
2027-W47,6127783,6127783,,7723,7723,,4380,5475,,
2027-W48,6123905,6123905,,8154,8154,,4277,5346,,
2027-W49,6177308,6177308,,8054,8054,,4401,5501,,
2027-W50,6205087,6205087,,7832,7832,,4473,5592,,
2027-W51,6180900,6180900,,8617,8617,,4676,5845,,
2027-W52,6355461,6355461,,8034,8034,,4587,5734,,
