FY,Fiscal Quarter,Fiscal Week,LOB,Category,Region,Business Unit,Warranty Type,Core/Upsell,Service Type,GCFA Type,W/O Type,Series,ASU,APOS,Renewals,Expiring,New Contract,APOS Renewal,Dispatches,SRs
FY22,2022-Q1,2022-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,860541,688433,172108,4653,4045,608,642,978
FY22,2022-Q1,2022-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,884166,707333,176833,0,22766,859,608,1242
FY22,2022-Q1,2022-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,890953,712762,178191,0,5895,892,580,999
FY22,2022-Q1,2022-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,873686,698949,174737,22019,4137,615,669,1068
FY22,2022-Q1,2022-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,915062,732050,183012,0,40329,1047,561,1044
FY22,2022-Q1,2022-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,917302,733842,183460,1437,3087,590,562,1220
FY22,2022-Q1,2022-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,914091,731273,182818,6892,2699,982,652,1123
FY22,2022-Q1,2022-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,925374,740299,185075,0,10351,932,624,1115
FY22,2022-Q1,2022-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,918444,734755,183689,12033,4354,749,751,1334
FY22,2022-Q1,2022-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,945944,756755,189189,0,26467,1033,689,1355
FY22,2022-Q1,2022-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,921921,737537,184384,28559,3575,961,604,1316
FY22,2022-Q1,2022-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,932096,745677,186419,0,9166,1009,731,1325
FY22,2022-Q1,2022-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,927892,742314,185578,7651,2701,746,765,1226
FY22,2022-Q2,2022-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,966407,773126,193281,0,37753,762,777,1111
FY22,2022-Q2,2022-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,970873,776698,194175,1233,4942,757,795,1279
FY22,2022-Q2,2022-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,950704,760563,190141,23959,2896,894,751,1174
