FW,Declines
27-W01,26336
27-W02,46615
27-W03,40535
27-W04,98234
27-W05,11017
27-W06,16184
27-W07,58687
27-W08,79947
27-W09,3163
27-W10,46070
27-W11,59301
27-W12,47037
27-W13,2249
27-W14,55344
27-W15,68075
27-W16,40182
27-W17,55958
27-W18,5604
27-W19,32400
27-W20,36246
27-W21,33729
27-W22,27747
27-W23,18954
27-W24,83763
27-W25,42106
27-W26,1325
27-W27,109310
27-W28,66952
27-W29,38234
27-W30,51267
27-W31,7679
27-W32,74887
27-W33,30345
27-W34,5874
27-W35,76399
27-W36,8252
27-W37,126359
27-W38,44590
27-W39,44589
27-W40,64026
27-W41,5596
27-W42,57064
27-W43,104169
27-W44,6740
27-W45,79850
27-W46,28469
27-W47,13005
27-W48,68039
27-W49,35222
27-W50,46890
27-W51,71833
27-W52,4089
