FW,Declines
22-W01,20261
22-W02,34861
22-W03,14284
22-W04,117628
22-W05,11435
22-W06,18807
22-W07,29977
22-W08,14048
22-W09,58017
22-W10,11478
22-W11,100911
22-W12,5021
22-W13,40580
22-W14,41347
22-W15,41781
22-W16,51057
22-W17,12756
22-W18,34444
22-W19,20999
22-W20,87910
22-W21,40513
22-W22,90966
22-W23,12229
22-W24,144697
22-W25,21196
22-W26,5194
22-W27,89124
22-W28,105307
22-W29,36580
22-W30,94184
22-W31,35038
22-W32,21227
22-W33,101603
22-W34,18314
22-W35,10781
22-W36,43363
22-W37,90656
22-W38,45922
22-W39,2074
22-W40,145240
22-W41,35771
22-W42,8186
22-W43,88369
22-W44,33470
22-W45,98693
22-W46,41965
22-W47,21738
22-W48,37325
22-W49,33877
22-W50,44115
22-W51,7893
22-W52,10299
23-W01,79750
23-W02,119711
23-W03,48663
23-W04,34680
23-W05,38409
23-W06,101868
23-W07,27032
23-W08,17577
23-W09,114051
23-W10,30465
23-W11,16657
23-W12,93031
23-W13,30420
23-W14,52645
23-W15,65592
23-W16,19294
23-W17,153756
23-W18,8474
23-W19,96054
23-W20,15348
23-W21,158215
23-W22,103416
23-W23,10855
23-W24,12336
23-W25,82088
23-W26,28333
23-W27,47684
23-W28,93379
23-W29,22598
23-W30,73690
23-W31,12444
23-W32,119930
23-W33,85343
23-W34,81996
23-W35,23629
23-W36,47193
23-W37,93328
23-W38,32981
23-W39,5906
23-W40,161891
23-W41,32105
23-W42,97561
23-W43,145681
23-W44,3231
23-W45,8735
23-W46,167992
23-W47,70597
23-W48,14732
23-W49,118898
23-W50,12860
23-W51,106326
23-W52,2766
24-W01,174633
24-W02,22071
24-W03,19735
24-W04,20822
24-W05,2261
24-W06,4274
24-W07,2500
24-W08,3694
24-W09,9791
24-W10,2604
24-W11,2175
24-W12,2340
24-W13,3123
24-W14,109005
24-W15,22012
24-W16,19305
24-W17,20450
24-W18,3556
24-W19,7602
24-W20,8393
24-W21,7002
24-W22,8498
24-W23,3558
24-W24,3426
24-W25,1986
24-W26,1749
24-W27,116202
24-W28,19497
24-W29,26313
24-W30,26555
24-W31,2977
24-W32,4470
24-W33,8532
24-W34,9897
24-W35,3913
24-W36,1130
24-W37,3347
24-W38,2805
24-W39,1964
24-W40,95748
24-W41,25175
24-W42,23299
24-W43,27170
24-W44,2831
24-W45,5679
24-W46,1084
24-W47,6285
24-W48,4408
24-W49,491
24-W50,3810
24-W51,3944
24-W52,2323
25-W01,116302
25-W02,27576
25-W03,27502
25-W04,27377
25-W05,1217
25-W06,15255
25-W07,12682
25-W08,12579
25-W09,11468
25-W10,449
25-W11,3167
25-W12,1067
25-W13,496
25-W14,109141
25-W15,30761
25-W16,32390
25-W17,33819
25-W18,1995
25-W19,18647
25-W20,10824
25-W21,17194
25-W22,13977
25-W23,3128
25-W24,2494
25-W25,5047
25-W26,501
25-W27,141788
25-W28,32527
25-W29,33814
25-W30,38170
25-W31,1413
25-W32,14561
25-W33,11221
25-W34,19304
25-W35,13120
25-W36,3833
25-W37,3740
25-W38,1344
25-W39,3199
25-W40,115749
25-W41,33180
25-W42,35154
25-W43,37509
25-W44,2615
25-W45,11956
25-W46,12664
25-W47,13519
25-W48,11695
25-W49,1360
25-W50,2212
25-W51,658
25-W52,2799
26-W01,164524
26-W02,50910
26-W03,45811
26-W04,47967
26-W05,5530
26-W06,30352
26-W07,22143
26-W08,28598
26-W09,24760
26-W10,2062
26-W11,5551
26-W12,7333
26-W13,1867
26-W14,138298
26-W15,42278
26-W16,40579
26-W17,41863
26-W18,2792
26-W19,25020
26-W20,19297
26-W21,23128
26-W22,22852
26-W23,3373
26-W24,7430
26-W25,3698
26-W26,267
26-W27,159314
26-W28,49047
26-W29,41769
26-W30,37068
26-W31,16911
26-W32,25892
26-W33,19274
26-W34,24268
26-W35,31307
26-W36,2068
26-W37,11136
26-W38,6053
26-W39,280
26-W40,111561
26-W41,53741
26-W42,29293
26-W43,55344
26-W44,3560
26-W45,14695
26-W46,22768
26-W47,16876
26-W48,20071
26-W49,2108
26-W50,4699
26-W51,337
26-W52,3084
27-W01,54580
27-W02,77700
27-W03,67362
27-W04,208753
27-W05,22253
27-W06,33757
27-W07,93767
27-W08,137867
27-W09,8276
27-W10,97705
27-W11,107907
27-W12,93095
27-W13,4494
27-W14,90706
27-W15,134544
27-W16,74731
27-W17,91448
27-W18,12308
27-W19,64475
27-W20,70889
27-W21,58002
27-W22,52915
27-W23,33186
27-W24,136099
27-W25,73287
27-W26,3538
27-W27,172885
27-W28,124976
27-W29,83642
27-W30,82373
27-W31,17027
27-W32,139895
27-W33,52120
27-W34,12318
27-W35,161804
27-W36,17273
27-W37,237734
27-W38,90857
27-W39,81777
27-W40,101842
27-W41,11449
27-W42,111231
27-W43,212072
27-W44,15709
27-W45,153632
27-W46,49734
27-W47,25428
27-W48,141591
27-W49,59746
27-W50,81319
27-W51,144990
27-W52,6808
